ID,1-1,Credits_1-1,1-2,Credits_1-2,2-1,Credits_2-1,Total Credits,CGPA,Supplementary Appearances
24031A0404,7.02,20.5,7.28,19.5,7.5,20.0,60.0,7.26,
24031A0405,8.66,20.5,0.0,16.5,8.28,20.0,57.0,0.0,
24031A0406,0.0,17.5,0.0,16.5,6.82,20.0,54.0,0.0,*
24031A0407,0.0,17.5,7.13,19.5,7.42,20.0,57.0,0.0,*
24031A0408,7.41,20.5,7.79,19.5,8.18,20.0,60.0,7.79,
24031A0409,7.34,20.5,0.0,16.5,6.65,20.0,57.0,0.0,
24031A0410,7.22,20.5,7.28,19.5,6.82,20.0,60.0,7.11,*
24031A0411,8.39,20.5,7.95,19.5,8.12,20.0,60.0,8.16,
24031A0412,8.22,20.5,7.38,19.5,8.12,20.0,60.0,7.91,
24031A0413,7.93,20.5,7.54,19.5,7.2,20.0,60.0,7.56,
24031A0414,0.0,17.5,0.0,16.5,0.0,14.0,48.0,0.0,*
24031A0415,7.05,20.5,6.51,19.5,6.98,20.0,60.0,6.85,
24031A0416,8.41,20.5,8.23,19.5,8.8,20.0,60.0,8.48,
24031A0417,0.0,14.5,,,,,14.5,0.0,
24031A0418,7.29,20.5,6.9,19.5,0.0,17.0,57.0,0.0,
24031A0419,8.54,20.5,9.05,19.5,8.57,20.0,60.0,8.72,
24031A0420,7.88,20.5,8.18,19.5,8.1,20.0,60.0,8.05,
24031A0421,8.1,20.5,8.05,19.5,8.18,20.0,60.0,8.11,
24031A0422,7.51,20.5,7.62,19.5,8.18,20.0,60.0,7.77,*
24031A0423,0.0,14.5,0.0,16.5,6.22,20.0,51.0,0.0,*
24031A0424,0.0,7.0,,,,,7.0,0.0,
24031A0425,8.05,20.5,0.0,16.5,8.5,20.0,57.0,0.0,*
24031A0426,7.39,20.5,6.92,19.5,7.8,20.0,60.0,7.37,
24031A0427,6.93,20.5,6.82,19.5,6.38,20.0,60.0,6.71,*
24031A0428,6.93,20.5,0.0,16.5,7.12,20.0,57.0,0.0,
24031A0429,8.02,20.5,7.33,19.5,7.12,20.0,60.0,7.5,
24031A0430,6.37,20.5,0.0,16.5,0.0,17.0,54.0,0.0,*
24031A0431,0.0,17.5,7.03,19.5,7.05,20.0,57.0,0.0,*
24031A0432,7.71,20.5,8.21,19.5,8.18,20.0,60.0,8.03,
24031A0433,7.83,20.5,7.23,19.5,7.98,20.0,60.0,7.69,*
24031A0434,8.54,20.5,8.79,19.5,8.93,20.0,60.0,8.75,
24031A0435,6.44,20.5,0.0,16.5,6.75,20.0,57.0,0.0,*
